AMKA,Rank,DepartmentID
10000000519,AssistantNurse,7
10000000520,AssistantNurse,7
10000000521,AssistantNurse,7
10000000522,AssistantNurse,7
10000000523,AssistantNurse,7
10000000524,AssistantNurse,7
10000000525,Nurse,7
10000000526,Nurse,7
10000000527,Nurse,7
10000000528,Nurse,7
10000000529,Nurse,7
10000000530,Nurse,7
10000000531,Nurse,7
10000000532,Nurse,7
10000000533,Nurse,7
10000000534,Nurse,7
10000000535,Nurse,7
10000000536,Nurse,7
10000000537,Nurse,7
10000000538,Nurse,7
10000000539,Nurse,7
10000000540,Nurse,7
10000000541,Nurse,7
10000000542,Nurse,7
10000000543,Nurse,7
10000000544,Nurse,7
10000000545,Nurse,7
10000000546,Nurse,7
10000000547,Nurse,7
10000000548,Nurse,7
10000000549,Nurse,7
10000000550,Nurse,7
10000000551,Nurse,7
10000000552,HeadNurse,8
10000000553,AssistantNurse,8
10000000554,AssistantNurse,8
10000000555,AssistantNurse,8
10000000556,AssistantNurse,8
10000000557,AssistantNurse,8
10000000558,AssistantNurse,8
10000000559,AssistantNurse,8
10000000560,AssistantNurse,8
10000000561,Nurse,8
10000000562,Nurse,8
10000000563,Nurse,8
10000000564,Nurse,8
10000000565,Nurse,8
10000000566,Nurse,8
10000000567,Nurse,8
10000000568,Nurse,8
10000000569,Nurse,8
10000000570,Nurse,8
10000000571,Nurse,8
10000000572,Nurse,8
10000000573,Nurse,8
10000000574,Nurse,8
10000000575,Nurse,8
10000000576,Nurse,8
10000000577,Nurse,8
10000000578,Nurse,8
10000000579,Nurse,8
10000000580,Nurse,8
10000000581,Nurse,8
10000000582,Nurse,8
10000000583,Nurse,8
10000000584,Nurse,8
10000000585,Nurse,8
10000000586,Nurse,8
10000000587,Nurse,8
10000000588,HeadNurse,9
10000000589,AssistantNurse,9
10000000590,AssistantNurse,9
10000000591,AssistantNurse,9
10000000592,AssistantNurse,9
10000000593,AssistantNurse,9
10000000594,AssistantNurse,9
10000000595,AssistantNurse,9
10000000596,AssistantNurse,9
10000000597,Nurse,9
10000000598,Nurse,9
10000000599,Nurse,9
10000000600,Nurse,9
10000000601,Nurse,9
10000000602,Nurse,9
10000000603,Nurse,9
10000000604,Nurse,9
10000000605,Nurse,9
10000000606,Nurse,9
10000000607,Nurse,9
10000000608,Nurse,9
10000000609,Nurse,9
10000000610,Nurse,9
10000000611,Nurse,9
10000000612,Nurse,9
10000000613,Nurse,9
10000000614,Nurse,9
10000000615,Nurse,9
10000000616,Nurse,9
10000000617,Nurse,9
10000000618,Nurse,9
10000000619,Nurse,9
10000000620,Nurse,9
10000000621,Nurse,9
10000000622,Nurse,9
10000000623,Nurse,9
10000000624,HeadNurse,10
10000000625,AssistantNurse,10
10000000626,AssistantNurse,10
10000000627,AssistantNurse,10
10000000628,AssistantNurse,10
10000000629,AssistantNurse,10
10000000630,AssistantNurse,10
10000000631,AssistantNurse,10
10000000632,AssistantNurse,10
10000000633,Nurse,10
10000000634,Nurse,10
10000000635,Nurse,10
10000000636,Nurse,10
10000000637,Nurse,10
10000000638,Nurse,10
10000000639,Nurse,10
10000000640,Nurse,10
10000000641,Nurse,10
10000000642,Nurse,10
10000000643,Nurse,10
10000000644,Nurse,10
10000000645,Nurse,10
10000000646,Nurse,10
10000000647,Nurse,10
10000000648,Nurse,10
10000000649,Nurse,10
10000000650,Nurse,10
10000000651,Nurse,10
10000000652,Nurse,10
10000000653,Nurse,10
10000000654,Nurse,10
10000000655,Nurse,10
10000000656,Nurse,10
10000000657,Nurse,10
10000000658,Nurse,10
10000000659,Nurse,10
10000000660,HeadNurse,11
10000000661,AssistantNurse,11
10000000662,AssistantNurse,11
10000000663,AssistantNurse,11
10000000664,AssistantNurse,11
10000000665,AssistantNurse,11
10000000666,AssistantNurse,11
10000000667,AssistantNurse,11
10000000668,AssistantNurse,11
10000000669,Nurse,11
10000000670,Nurse,11
10000000671,Nurse,11
10000000672,Nurse,11
10000000673,Nurse,11
10000000674,Nurse,11
10000000675,Nurse,11
10000000676,Nurse,11
10000000677,Nurse,11
10000000678,Nurse,11
10000000679,Nurse,11
10000000680,Nurse,11
10000000681,Nurse,11
10000000682,Nurse,11
10000000683,Nurse,11
10000000684,Nurse,11
10000000685,Nurse,11
10000000686,Nurse,11
10000000687,Nurse,11
10000000688,Nurse,11
10000000689,Nurse,11
10000000690,Nurse,11
10000000691,Nurse,11
10000000692,Nurse,11
10000000693,Nurse,11
10000000694,Nurse,11
10000000695,Nurse,11
10000000696,HeadNurse,12
10000000697,AssistantNurse,12
10000000698,AssistantNurse,12
10000000699,AssistantNurse,12
10000000700,AssistantNurse,12
10000000701,AssistantNurse,12
10000000702,AssistantNurse,12
10000000703,AssistantNurse,12
10000000704,AssistantNurse,12
10000000705,Nurse,12
10000000706,Nurse,12
10000000707,Nurse,12
10000000708,Nurse,12
10000000709,Nurse,12
10000000710,Nurse,12
10000000711,Nurse,12
10000000712,Nurse,12
10000000713,Nurse,12
10000000714,Nurse,12
10000000715,Nurse,12
10000000716,Nurse,12
10000000717,Nurse,12
10000000718,Nurse,12
10000000719,Nurse,12
10000000720,Nurse,12
10000000721,Nurse,12
10000000722,Nurse,12
10000000723,Nurse,12
10000000724,Nurse,12
10000000725,Nurse,12
10000000726,Nurse,12
10000000727,Nurse,12
10000000728,Nurse,12
10000000729,Nurse,12
10000000730,Nurse,12
10000000731,Nurse,12
10000000732,HeadNurse,13
10000000733,AssistantNurse,13
10000000734,AssistantNurse,13
10000000735,AssistantNurse,13
10000000736,AssistantNurse,13
10000000737,AssistantNurse,13
10000000738,AssistantNurse,13
10000000739,AssistantNurse,13
10000000740,AssistantNurse,13
10000000741,Nurse,13
10000000742,Nurse,13
10000000743,Nurse,13
10000000744,Nurse,13
10000000745,Nurse,13
10000000746,Nurse,13
10000000747,Nurse,13
10000000748,Nurse,13
10000000749,Nurse,13
10000000750,Nurse,13
10000000751,Nurse,13
10000000752,Nurse,13
10000000753,Nurse,13
10000000754,Nurse,13
10000000755,Nurse,13
10000000756,Nurse,13
10000000757,Nurse,13
10000000758,Nurse,13
10000000759,Nurse,13
10000000760,Nurse,13
10000000761,Nurse,13
10000000762,Nurse,13
10000000763,Nurse,13
10000000764,Nurse,13
10000000765,Nurse,13
10000000766,Nurse,13
10000000767,Nurse,13
10000000768,HeadNurse,14
10000000769,AssistantNurse,14
10000000770,AssistantNurse,14
10000000771,AssistantNurse,14
10000000772,AssistantNurse,14
10000000773,AssistantNurse,14
10000000774,AssistantNurse,14
10000000775,AssistantNurse,14
10000000776,AssistantNurse,14
10000000777,Nurse,14
10000000778,Nurse,14
10000000779,Nurse,14
10000000780,Nurse,14
10000000781,Nurse,14
10000000782,Nurse,14
10000000783,Nurse,14
10000000784,Nurse,14
10000000785,Nurse,14
10000000786,Nurse,14
10000000787,Nurse,14
10000000788,Nurse,14
10000000789,Nurse,14
10000000790,Nurse,14
10000000791,Nurse,14
10000000792,Nurse,14
10000000793,Nurse,14
10000000794,Nurse,14
10000000795,Nurse,14
10000000796,Nurse,14
10000000797,Nurse,14
10000000798,Nurse,14
10000000799,Nurse,14
10000000800,Nurse,14
10000000801,Nurse,14
10000000802,Nurse,14
10000000803,Nurse,14
10000000804,HeadNurse,15
10000000805,AssistantNurse,15
10000000806,AssistantNurse,15
10000000807,AssistantNurse,15
10000000808,AssistantNurse,15
10000000809,AssistantNurse,15
10000000810,AssistantNurse,15
10000000811,AssistantNurse,15
10000000812,AssistantNurse,15
10000000813,Nurse,15
10000000814,Nurse,15
10000000815,Nurse,15
10000000816,Nurse,15
10000000817,Nurse,15
10000000818,Nurse,15
10000000819,Nurse,15
10000000820,Nurse,15
10000000821,Nurse,15
10000000822,Nurse,15
10000000823,Nurse,15
10000000824,Nurse,15
10000000825,Nurse,15
10000000826,Nurse,15
10000000827,Nurse,15
10000000828,Nurse,15
10000000829,Nurse,15
10000000830,Nurse,15
10000000831,Nurse,15
10000000832,Nurse,15
10000000833,Nurse,15
10000000834,Nurse,15
10000000835,Nurse,15
10000000836,Nurse,15
10000000837,Nurse,15
10000000838,Nurse,15
10000000839,Nurse,15
