AMKA,License,Specialty,Rank,SupervisorAMKA
10000000065,LIC04050065,EmergencyMed,Resident,10000000063
10000000066,LIC04060066,EmergencyMed,Consultant,10000000060
10000000067,LIC04070067,EmergencyMed,Registrar,10000000060
10000000068,LIC04080068,EmergencyMed,Resident,10000000067
10000000069,LIC04090069,EmergencyMed,Consultant,10000000060
10000000070,LIC04100070,EmergencyMed,Registrar,10000000060
10000000071,LIC04110071,EmergencyMed,Resident,10000000064
10000000072,LIC04120072,EmergencyMed,Consultant,10000000060
10000000073,LIC04130073,EmergencyMed,Registrar,10000000060
10000000074,LIC04140074,EmergencyMed,Consultant,10000000060
10000000075,LIC04150075,EmergencyMed,Resident,10000000070
10000000076,LIC04160076,EmergencyMed,Consultant,10000000060
10000000077,LIC04170077,EmergencyMed,Registrar,10000000060
10000000078,LIC04180078,EmergencyMed,Consultant,10000000060
10000000079,LIC04190079,EmergencyMed,Resident,10000000061
10000000080,LIC05000080,Neurology,Director,
10000000081,LIC05010081,Neurology,Consultant,10000000080
10000000082,LIC05020082,Neurology,Resident,10000000093
10000000083,LIC05030083,Neurology,Consultant,10000000080
10000000084,LIC05040084,Neurology,Registrar,10000000080
10000000085,LIC05050085,Neurology,Resident,10000000090
10000000086,LIC05060086,Neurology,Consultant,10000000080
10000000087,LIC05070087,Neurology,Registrar,10000000080
10000000088,LIC05080088,Neurology,Resident,10000000093
10000000089,LIC05090089,Neurology,Consultant,10000000080
10000000090,LIC05100090,Neurology,Registrar,10000000080
10000000091,LIC05110091,Neurology,Resident,10000000092
10000000092,LIC05120092,Neurology,Consultant,10000000080
10000000093,LIC05130093,Neurology,Registrar,10000000080
10000000094,LIC05140094,Neurology,Consultant,10000000080
10000000095,LIC05150095,Neurology,Resident,10000000097
10000000096,LIC05160096,Neurology,Consultant,10000000080
10000000097,LIC05170097,Neurology,Registrar,10000000080
10000000098,LIC05180098,Neurology,Consultant,10000000080
10000000099,LIC05190099,Neurology,Resident,10000000098
10000000100,LIC06000100,Orthopedics,Director,
10000000101,LIC06010101,Orthopedics,Consultant,10000000100
10000000102,LIC06020102,Orthopedics,Resident,10000000113
10000000103,LIC06030103,Orthopedics,Consultant,10000000100
10000000104,LIC06040104,Orthopedics,Registrar,10000000100
10000000105,LIC06050105,Orthopedics,Resident,10000000118
10000000106,LIC06060106,Orthopedics,Consultant,10000000100
10000000107,LIC06070107,Orthopedics,Registrar,10000000100
10000000108,LIC06080108,Orthopedics,Resident,10000000112
10000000109,LIC06090109,Orthopedics,Consultant,10000000100
10000000110,LIC06100110,Orthopedics,Registrar,10000000100
10000000111,LIC06110111,Orthopedics,Resident,10000000106
10000000112,LIC06120112,Orthopedics,Consultant,10000000100
10000000113,LIC06130113,Orthopedics,Registrar,10000000100
10000000114,LIC06140114,Orthopedics,Consultant,10000000100
10000000115,LIC06150115,Orthopedics,Resident,10000000118
10000000116,LIC06160116,Orthopedics,Consultant,10000000100
10000000117,LIC06170117,Orthopedics,Registrar,10000000100
10000000118,LIC06180118,Orthopedics,Consultant,10000000100
10000000119,LIC06190119,Orthopedics,Resident,10000000101
10000000120,LIC07000120,Pulmonology,Director,
10000000121,LIC07010121,Pulmonology,Consultant,10000000120
10000000122,LIC07020122,Pulmonology,Resident,10000000123
10000000123,LIC07030123,Pulmonology,Consultant,10000000120
10000000124,LIC07040124,Pulmonology,Registrar,10000000120
10000000125,LIC07050125,Pulmonology,Resident,10000000138
10000000126,LIC07060126,Pulmonology,Consultant,10000000120
10000000127,LIC07070127,Pulmonology,Registrar,10000000120
10000000128,LIC07080128,Pulmonology,Resident,10000000132
10000000129,LIC07090129,Pulmonology,Consultant,10000000120
10000000130,LIC07100130,Pulmonology,Registrar,10000000120
10000000131,LIC07110131,Pulmonology,Resident,10000000133
10000000132,LIC07120132,Pulmonology,Consultant,10000000120
10000000133,LIC07130133,Pulmonology,Registrar,10000000120
10000000134,LIC07140134,Pulmonology,Consultant,10000000120
10000000135,LIC07150135,Pulmonology,Resident,10000000132
10000000136,LIC07160136,Pulmonology,Consultant,10000000120
10000000137,LIC07170137,Pulmonology,Registrar,10000000120
10000000138,LIC07180138,Pulmonology,Consultant,10000000120
10000000139,LIC07190139,Pulmonology,Resident,10000000132
10000000140,LIC08000140,Gastroenterology,Director,
10000000141,LIC08010141,Gastroenterology,Consultant,10000000140
10000000142,LIC08020142,Gastroenterology,Resident,10000000158
10000000143,LIC08030143,Gastroenterology,Consultant,10000000140
10000000144,LIC08040144,Gastroenterology,Registrar,10000000140
10000000145,LIC08050145,Gastroenterology,Resident,10000000144
10000000146,LIC08060146,Gastroenterology,Consultant,10000000140
10000000147,LIC08070147,Gastroenterology,Registrar,10000000140
10000000148,LIC08080148,Gastroenterology,Resident,10000000153
10000000149,LIC08090149,Gastroenterology,Consultant,10000000140
10000000150,LIC08100150,Gastroenterology,Registrar,10000000140
10000000151,LIC08110151,Gastroenterology,Resident,10000000149
10000000152,LIC08120152,Gastroenterology,Consultant,10000000140
10000000153,LIC08130153,Gastroenterology,Registrar,10000000140
10000000154,LIC08140154,Gastroenterology,Consultant,10000000140
10000000155,LIC08150155,Gastroenterology,Resident,10000000152
10000000156,LIC08160156,Gastroenterology,Consultant,10000000140
10000000157,LIC08170157,Gastroenterology,Registrar,10000000140
10000000158,LIC08180158,Gastroenterology,Consultant,10000000140
10000000159,LIC08190159,Gastroenterology,Resident,10000000158
10000000160,LIC09000160,Oncology,Director,
10000000161,LIC09010161,Oncology,Consultant,10000000160
10000000162,LIC09020162,Oncology,Resident,10000000164
10000000163,LIC09030163,Oncology,Consultant,10000000160
10000000164,LIC09040164,Oncology,Registrar,10000000160
10000000165,LIC09050165,Oncology,Resident,10000000166
10000000166,LIC09060166,Oncology,Consultant,10000000160
10000000167,LIC09070167,Oncology,Registrar,10000000160
10000000168,LIC09080168,Oncology,Resident,10000000173
10000000169,LIC09090169,Oncology,Consultant,10000000160
10000000170,LIC09100170,Oncology,Registrar,10000000160
10000000171,LIC09110171,Oncology,Resident,10000000161
10000000172,LIC09120172,Oncology,Consultant,10000000160
10000000173,LIC09130173,Oncology,Registrar,10000000160
10000000174,LIC09140174,Oncology,Consultant,10000000160
10000000175,LIC09150175,Oncology,Resident,10000000178
10000000176,LIC09160176,Oncology,Consultant,10000000160
10000000177,LIC09170177,Oncology,Registrar,10000000160
10000000178,LIC09180178,Oncology,Consultant,10000000160
10000000179,LIC09190179,Oncology,Resident,10000000163
10000000180,LIC10000180,Pediatrics,Director,
10000000181,LIC10010181,Pediatrics,Consultant,10000000180
10000000182,LIC10020182,Pediatrics,Resident,10000000198
10000000183,LIC10030183,Pediatrics,Consultant,10000000180
10000000184,LIC10040184,Pediatrics,Registrar,10000000180
10000000185,LIC10050185,Pediatrics,Resident,10000000187
10000000186,LIC10060186,Pediatrics,Consultant,10000000180
10000000187,LIC10070187,Pediatrics,Registrar,10000000180
10000000188,LIC10080188,Pediatrics,Resident,10000000184
10000000189,LIC10090189,Pediatrics,Consultant,10000000180
10000000190,LIC10100190,Pediatrics,Registrar,10000000180
10000000191,LIC10110191,Pediatrics,Resident,10000000186
10000000192,LIC10120192,Pediatrics,Consultant,10000000180
10000000193,LIC10130193,Pediatrics,Registrar,10000000180
10000000194,LIC10140194,Pediatrics,Consultant,10000000180
10000000195,LIC10150195,Pediatrics,Resident,10000000184
10000000196,LIC10160196,Pediatrics,Consultant,10000000180
10000000197,LIC10170197,Pediatrics,Registrar,10000000180
10000000198,LIC10180198,Pediatrics,Consultant,10000000180
10000000199,LIC10190199,Pediatrics,Resident,10000000189
10000000200,LIC11000200,Ophthalmology,Director,
10000000201,LIC11010201,Ophthalmology,Consultant,10000000200
10000000202,LIC11020202,Ophthalmology,Resident,10000000201
10000000203,LIC11030203,Ophthalmology,Consultant,10000000200
10000000204,LIC11040204,Ophthalmology,Registrar,10000000200
10000000205,LIC11050205,Ophthalmology,Resident,10000000217
10000000206,LIC11060206,Ophthalmology,Consultant,10000000200
10000000207,LIC11070207,Ophthalmology,Registrar,10000000200
10000000208,LIC11080208,Ophthalmology,Resident,10000000218
10000000209,LIC11090209,Ophthalmology,Consultant,10000000200
10000000210,LIC11100210,Ophthalmology,Registrar,10000000200
10000000211,LIC11110211,Ophthalmology,Resident,10000000204
10000000212,LIC11120212,Ophthalmology,Consultant,10000000200
10000000213,LIC11130213,Ophthalmology,Registrar,10000000200
10000000214,LIC11140214,Ophthalmology,Consultant,10000000200
10000000215,LIC11150215,Ophthalmology,Resident,10000000214
10000000216,LIC11160216,Ophthalmology,Consultant,10000000200
10000000217,LIC11170217,Ophthalmology,Registrar,10000000200
10000000218,LIC11180218,Ophthalmology,Consultant,10000000200
10000000219,LIC11190219,Ophthalmology,Resident,10000000210
10000000220,LIC12000220,ENT,Director,
10000000221,LIC12010221,ENT,Consultant,10000000220
10000000222,LIC12020222,ENT,Resident,10000000238
10000000223,LIC12030223,ENT,Consultant,10000000220
10000000224,LIC12040224,ENT,Registrar,10000000220
10000000225,LIC12050225,ENT,Resident,10000000230
10000000226,LIC12060226,ENT,Consultant,10000000220
10000000227,LIC12070227,ENT,Registrar,10000000220
10000000228,LIC12080228,ENT,Resident,10000000221
10000000229,LIC12090229,ENT,Consultant,10000000220
10000000230,LIC12100230,ENT,Registrar,10000000220
10000000231,LIC12110231,ENT,Resident,10000000229
10000000232,LIC12120232,ENT,Consultant,10000000220
10000000233,LIC12130233,ENT,Registrar,10000000220
10000000234,LIC12140234,ENT,Consultant,10000000220
10000000235,LIC12150235,ENT,Resident,10000000230
10000000236,LIC12160236,ENT,Consultant,10000000220
10000000237,LIC12170237,ENT,Registrar,10000000220
10000000238,LIC12180238,ENT,Consultant,10000000220
10000000239,LIC12190239,ENT,Resident,10000000233
10000000240,LIC13000240,Nephrology,Director,
10000000241,LIC13010241,Nephrology,Consultant,10000000240
10000000242,LIC13020242,Nephrology,Resident,10000000252
10000000243,LIC13030243,Nephrology,Consultant,10000000240
10000000244,LIC13040244,Nephrology,Registrar,10000000240
10000000245,LIC13050245,Nephrology,Resident,10000000257
10000000246,LIC13060246,Nephrology,Consultant,10000000240
10000000247,LIC13070247,Nephrology,Registrar,10000000240
10000000248,LIC13080248,Nephrology,Resident,10000000254
10000000249,LIC13090249,Nephrology,Consultant,10000000240
10000000250,LIC13100250,Nephrology,Registrar,10000000240
10000000251,LIC13110251,Nephrology,Resident,10000000243
10000000252,LIC13120252,Nephrology,Consultant,10000000240
10000000253,LIC13130253,Nephrology,Registrar,10000000240
10000000254,LIC13140254,Nephrology,Consultant,10000000240
10000000255,LIC13150255,Nephrology,Resident,10000000250
10000000256,LIC13160256,Nephrology,Consultant,10000000240
10000000257,LIC13170257,Nephrology,Registrar,10000000240
10000000258,LIC13180258,Nephrology,Consultant,10000000240
10000000259,LIC13190259,Nephrology,Resident,10000000252
10000000260,LIC14000260,Psychiatry,Director,
10000000261,LIC14010261,Psychiatry,Consultant,10000000260
10000000262,LIC14020262,Psychiatry,Resident,10000000278
10000000263,LIC14030263,Psychiatry,Consultant,10000000260
10000000264,LIC14040264,Psychiatry,Registrar,10000000260
10000000265,LIC14050265,Psychiatry,Resident,10000000277
10000000266,LIC14060266,Psychiatry,Consultant,10000000260
10000000267,LIC14070267,Psychiatry,Registrar,10000000260
10000000268,LIC14080268,Psychiatry,Resident,10000000263
10000000269,LIC14090269,Psychiatry,Consultant,10000000260
10000000270,LIC14100270,Psychiatry,Registrar,10000000260
10000000271,LIC14110271,Psychiatry,Resident,10000000263
10000000272,LIC14120272,Psychiatry,Consultant,10000000260
10000000273,LIC14130273,Psychiatry,Registrar,10000000260
10000000274,LIC14140274,Psychiatry,Consultant,10000000260
10000000275,LIC14150275,Psychiatry,Resident,10000000270
10000000276,LIC14160276,Psychiatry,Consultant,10000000260
10000000277,LIC14170277,Psychiatry,Registrar,10000000260
10000000278,LIC14180278,Psychiatry,Consultant,10000000260
10000000279,LIC14190279,Psychiatry,Resident,10000000278
10000000280,LIC15000280,InternalMed,Director,
10000000281,LIC15010281,InternalMed,Consultant,10000000280
10000000282,LIC15020282,InternalMed,Resident,10000000297
10000000283,LIC15030283,InternalMed,Consultant,10000000280
10000000284,LIC15040284,InternalMed,Registrar,10000000280
10000000285,LIC15050285,InternalMed,Resident,10000000293
10000000286,LIC15060286,InternalMed,Consultant,10000000280
10000000287,LIC15070287,InternalMed,Registrar,10000000280
10000000288,LIC15080288,InternalMed,Resident,10000000287
10000000289,LIC15090289,InternalMed,Consultant,10000000280
10000000290,LIC15100290,InternalMed,Registrar,10000000280
10000000291,LIC15110291,InternalMed,Resident,10000000283
10000000292,LIC15120292,InternalMed,Consultant,10000000280
10000000293,LIC15130293,InternalMed,Registrar,10000000280
10000000294,LIC15140294,InternalMed,Consultant,10000000280
10000000295,LIC15150295,InternalMed,Resident,10000000284
10000000296,LIC15160296,InternalMed,Consultant,10000000280
10000000297,LIC15170297,InternalMed,Registrar,10000000280
10000000298,LIC15180298,InternalMed,Consultant,10000000280
10000000299,LIC15190299,InternalMed,Resident,10000000287
