AMKA,Role,Office,DepartmentID
10000000952,BillingOfficer,HR,10
10000000953,HRClerk,Admissions,10
10000000954,Scheduler,WardDesk,10
10000000955,RecordsClerk,BackOffice,10
10000000956,Secretary,FrontDesk,10
10000000957,Accountant,Billing,10
10000000958,Registrar,Records,10
10000000959,Archivist,Scheduling,10
10000000960,Secretary,FrontDesk,11
10000000961,Accountant,Billing,11
10000000962,Registrar,Records,11
10000000963,Archivist,Scheduling,11
10000000964,BillingOfficer,HR,11
10000000965,HRClerk,Admissions,11
10000000966,Scheduler,WardDesk,11
10000000967,RecordsClerk,BackOffice,11
10000000968,Secretary,FrontDesk,11
10000000969,Accountant,Billing,11
10000000970,Registrar,Records,11
10000000971,Archivist,Scheduling,11
10000000972,Secretary,FrontDesk,12
10000000973,Accountant,Billing,12
10000000974,Registrar,Records,12
10000000975,Archivist,Scheduling,12
10000000976,BillingOfficer,HR,12
10000000977,HRClerk,Admissions,12
10000000978,Scheduler,WardDesk,12
10000000979,RecordsClerk,BackOffice,12
10000000980,Secretary,FrontDesk,12
10000000981,Accountant,Billing,12
10000000982,Registrar,Records,12
10000000983,Archivist,Scheduling,12
10000000984,Secretary,FrontDesk,13
10000000985,Accountant,Billing,13
10000000986,Registrar,Records,13
10000000987,Archivist,Scheduling,13
10000000988,BillingOfficer,HR,13
10000000989,HRClerk,Admissions,13
10000000990,Scheduler,WardDesk,13
10000000991,RecordsClerk,BackOffice,13
10000000992,Secretary,FrontDesk,13
10000000993,Accountant,Billing,13
10000000994,Registrar,Records,13
10000000995,Archivist,Scheduling,13
10000000996,Secretary,FrontDesk,14
10000000997,Accountant,Billing,14
10000000998,Registrar,Records,14
10000000999,Archivist,Scheduling,14
10000001000,BillingOfficer,HR,14
10000001001,HRClerk,Admissions,14
10000001002,Scheduler,WardDesk,14
10000001003,RecordsClerk,BackOffice,14
10000001004,Secretary,FrontDesk,14
10000001005,Accountant,Billing,14
10000001006,Registrar,Records,14
10000001007,Archivist,Scheduling,14
10000001008,Secretary,FrontDesk,15
10000001009,Accountant,Billing,15
10000001010,Registrar,Records,15
10000001011,Archivist,Scheduling,15
10000001012,BillingOfficer,HR,15
10000001013,HRClerk,Admissions,15
10000001014,Scheduler,WardDesk,15
10000001015,RecordsClerk,BackOffice,15
10000001016,Secretary,FrontDesk,15
10000001017,Accountant,Billing,15
10000001018,Registrar,Records,15
10000001019,Archivist,Scheduling,15
