ImageID,ImageURL,ImageDescription,ProcRoomId,StaffAMKA,DepartmentID,RoomID,RoomDepartmentID
64,https://example.org/hospital/images/0064.jpg,Staff portrait for Andreas Vasiliou,,10000000048,,,
65,https://example.org/hospital/images/0065.jpg,Staff portrait for Katerina Theodorou,,10000000049,,,
66,https://example.org/hospital/images/0066.jpg,Staff portrait for Katerina Nikolaou,,10000000050,,,
67,https://example.org/hospital/images/0067.jpg,Staff portrait for Vasilis Petrou,,10000000051,,,
68,https://example.org/hospital/images/0068.jpg,Staff portrait for Michalis Petrou,,10000000052,,,
69,https://example.org/hospital/images/0069.jpg,Staff portrait for Sofia Kostopoulos,,10000000053,,,
70,https://example.org/hospital/images/0070.jpg,Staff portrait for Vasiliki Petrou,,10000000054,,,
71,https://example.org/hospital/images/0071.jpg,Staff portrait for Chrysa Papadopoulos,,10000000055,,,
72,https://example.org/hospital/images/0072.jpg,Staff portrait for Natalia Konstantinou,,10000000056,,,
73,https://example.org/hospital/images/0073.jpg,Staff portrait for Chrysa Lazarou,,10000000057,,,
74,https://example.org/hospital/images/0074.jpg,Staff portrait for Dimitra Dimitriou,,10000000058,,,
75,https://example.org/hospital/images/0075.jpg,Staff portrait for Katerina Petrou,,10000000059,,,
76,https://example.org/hospital/images/0076.jpg,Staff portrait for Sofia Alexiou,,10000000060,,,
77,https://example.org/hospital/images/0077.jpg,Staff portrait for Maria Pavlidis,,10000000061,,,
78,https://example.org/hospital/images/0078.jpg,Staff portrait for Giorgos Nikolaou,,10000000062,,,
79,https://example.org/hospital/images/0079.jpg,Staff portrait for Evangelia Athanasiou,,10000000063,,,
80,https://example.org/hospital/images/0080.jpg,Staff portrait for Georgia Kostopoulos,,10000000064,,,
81,https://example.org/hospital/images/0081.jpg,Staff portrait for Anna Athanasiou,,10000000065,,,
82,https://example.org/hospital/images/0082.jpg,Staff portrait for Dimitra Alexiou,,10000000066,,,
83,https://example.org/hospital/images/0083.jpg,Staff portrait for Stavros Dimitriou,,10000000067,,,
84,https://example.org/hospital/images/0084.jpg,Staff portrait for Christos Georgiou,,10000000068,,,
85,https://example.org/hospital/images/0085.jpg,Staff portrait for Eleni Dimitriou,,10000000069,,,
86,https://example.org/hospital/images/0086.jpg,Staff portrait for Ioanna Kostopoulos,,10000000070,,,
87,https://example.org/hospital/images/0087.jpg,Staff portrait for Dimitra Nikolaou,,10000000071,,,
88,https://example.org/hospital/images/0088.jpg,Staff portrait for Katerina Petrou,,10000000072,,,
89,https://example.org/hospital/images/0089.jpg,Staff portrait for Marios Papadopoulos,,10000000073,,,
90,https://example.org/hospital/images/0090.jpg,Staff portrait for Michalis Vasiliou,,10000000074,,,
91,https://example.org/hospital/images/0091.jpg,Staff portrait for Andreas Vasiliou,,10000000075,,,
92,https://example.org/hospital/images/0092.jpg,Staff portrait for Sofia Lazarou,,10000000076,,,
93,https://example.org/hospital/images/0093.jpg,Staff portrait for Stavros Dimitriou,,10000000077,,,
94,https://example.org/hospital/images/0094.jpg,Staff portrait for Michalis Lazarou,,10000000078,,,
95,https://example.org/hospital/images/0095.jpg,Staff portrait for Giorgos Pavlidis,,10000000079,,,
96,https://example.org/hospital/images/0096.jpg,Staff portrait for Petros Georgiou,,10000000080,,,
97,https://example.org/hospital/images/0097.jpg,Staff portrait for Andreas Papadopoulos,,10000000081,,,
98,https://example.org/hospital/images/0098.jpg,Staff portrait for Christos Vasiliou,,10000000082,,,
99,https://example.org/hospital/images/0099.jpg,Staff portrait for Ioanna Dimitriou,,10000000083,,,
100,https://example.org/hospital/images/0100.jpg,Staff portrait for Evangelia Vasiliou,,10000000084,,,
101,https://example.org/hospital/images/0101.jpg,Staff portrait for Stavros Dimitriou,,10000000085,,,
102,https://example.org/hospital/images/0102.jpg,Staff portrait for Maria Lazarou,,10000000086,,,
103,https://example.org/hospital/images/0103.jpg,Staff portrait for Nikos Ioannou,,10000000087,,,
104,https://example.org/hospital/images/0104.jpg,Staff portrait for Michalis Ioannou,,10000000088,,,
105,https://example.org/hospital/images/0105.jpg,Staff portrait for Chrysa Ioannou,,10000000089,,,
106,https://example.org/hospital/images/0106.jpg,Room 1 department 1 image,,,,1,1
107,https://example.org/hospital/images/0107.jpg,Room 2 department 1 image,,,,2,1
108,https://example.org/hospital/images/0108.jpg,Room 3 department 1 image,,,,3,1
109,https://example.org/hospital/images/0109.jpg,Room 4 department 1 image,,,,4,1
110,https://example.org/hospital/images/0110.jpg,Room 5 department 1 image,,,,5,1
111,https://example.org/hospital/images/0111.jpg,Room 6 department 1 image,,,,6,1
112,https://example.org/hospital/images/0112.jpg,Room 7 department 1 image,,,,7,1
113,https://example.org/hospital/images/0113.jpg,Room 8 department 1 image,,,,8,1
114,https://example.org/hospital/images/0114.jpg,Room 9 department 1 image,,,,9,1
115,https://example.org/hospital/images/0115.jpg,Room 10 department 1 image,,,,10,1
116,https://example.org/hospital/images/0116.jpg,Room 11 department 1 image,,,,11,1
117,https://example.org/hospital/images/0117.jpg,Room 12 department 1 image,,,,12,1
118,https://example.org/hospital/images/0118.jpg,Room 13 department 1 image,,,,13,1
119,https://example.org/hospital/images/0119.jpg,Room 14 department 1 image,,,,14,1
120,https://example.org/hospital/images/0120.jpg,Room 15 department 1 image,,,,15,1
121,https://example.org/hospital/images/0121.jpg,Room 16 department 1 image,,,,16,1
122,https://example.org/hospital/images/0122.jpg,Room 17 department 1 image,,,,17,1
123,https://example.org/hospital/images/0123.jpg,Room 18 department 1 image,,,,18,1
124,https://example.org/hospital/images/0124.jpg,Room 19 department 1 image,,,,19,1
125,https://example.org/hospital/images/0125.jpg,Room 20 department 1 image,,,,20,1
126,https://example.org/hospital/images/0126.jpg,Room 21 department 1 image,,,,21,1
127,https://example.org/hospital/images/0127.jpg,Room 22 department 1 image,,,,22,1
128,https://example.org/hospital/images/0128.jpg,Room 23 department 1 image,,,,23,1
129,https://example.org/hospital/images/0129.jpg,Room 24 department 1 image,,,,24,1
130,https://example.org/hospital/images/0130.jpg,Room 25 department 1 image,,,,25,1
131,https://example.org/hospital/images/0131.jpg,Room 26 department 1 image,,,,26,1
132,https://example.org/hospital/images/0132.jpg,Room 27 department 1 image,,,,27,1
133,https://example.org/hospital/images/0133.jpg,Room 28 department 1 image,,,,28,1
134,https://example.org/hospital/images/0134.jpg,Room 29 department 1 image,,,,29,1
135,https://example.org/hospital/images/0135.jpg,Room 30 department 1 image,,,,30,1
136,https://example.org/hospital/images/0136.jpg,Room 31 department 1 image,,,,31,1
137,https://example.org/hospital/images/0137.jpg,Room 32 department 1 image,,,,32,1
138,https://example.org/hospital/images/0138.jpg,Room 33 department 1 image,,,,33,1
139,https://example.org/hospital/images/0139.jpg,Room 34 department 1 image,,,,34,1
140,https://example.org/hospital/images/0140.jpg,Room 35 department 1 image,,,,35,1
141,https://example.org/hospital/images/0141.jpg,Room 36 department 1 image,,,,36,1
142,https://example.org/hospital/images/0142.jpg,Room 37 department 1 image,,,,37,1
143,https://example.org/hospital/images/0143.jpg,Room 38 department 1 image,,,,38,1
144,https://example.org/hospital/images/0144.jpg,Room 39 department 1 image,,,,39,1
145,https://example.org/hospital/images/0145.jpg,Room 40 department 1 image,,,,40,1
146,https://example.org/hospital/images/0146.jpg,Room 41 department 1 image,,,,41,1
147,https://example.org/hospital/images/0147.jpg,Room 42 department 1 image,,,,42,1
148,https://example.org/hospital/images/0148.jpg,Room 43 department 1 image,,,,43,1
149,https://example.org/hospital/images/0149.jpg,Room 44 department 1 image,,,,44,1
150,https://example.org/hospital/images/0150.jpg,Room 45 department 1 image,,,,45,1
151,https://example.org/hospital/images/0151.jpg,Room 46 department 1 image,,,,46,1
152,https://example.org/hospital/images/0152.jpg,Room 47 department 1 image,,,,47,1
153,https://example.org/hospital/images/0153.jpg,Room 48 department 1 image,,,,48,1
154,https://example.org/hospital/images/0154.jpg,Room 49 department 1 image,,,,49,1
155,https://example.org/hospital/images/0155.jpg,Room 50 department 1 image,,,,50,1
156,https://example.org/hospital/images/0156.jpg,Room 1 department 2 image,,,,1,2
157,https://example.org/hospital/images/0157.jpg,Room 2 department 2 image,,,,2,2
158,https://example.org/hospital/images/0158.jpg,Room 3 department 2 image,,,,3,2
159,https://example.org/hospital/images/0159.jpg,Room 4 department 2 image,,,,4,2
160,https://example.org/hospital/images/0160.jpg,Room 5 department 2 image,,,,5,2
161,https://example.org/hospital/images/0161.jpg,Room 6 department 2 image,,,,6,2
162,https://example.org/hospital/images/0162.jpg,Room 7 department 2 image,,,,7,2
163,https://example.org/hospital/images/0163.jpg,Room 8 department 2 image,,,,8,2
164,https://example.org/hospital/images/0164.jpg,Room 9 department 2 image,,,,9,2
165,https://example.org/hospital/images/0165.jpg,Room 10 department 2 image,,,,10,2
166,https://example.org/hospital/images/0166.jpg,Room 11 department 2 image,,,,11,2
167,https://example.org/hospital/images/0167.jpg,Room 12 department 2 image,,,,12,2
168,https://example.org/hospital/images/0168.jpg,Room 13 department 2 image,,,,13,2
169,https://example.org/hospital/images/0169.jpg,Room 14 department 2 image,,,,14,2
170,https://example.org/hospital/images/0170.jpg,Room 15 department 2 image,,,,15,2
171,https://example.org/hospital/images/0171.jpg,Room 16 department 2 image,,,,16,2
172,https://example.org/hospital/images/0172.jpg,Room 17 department 2 image,,,,17,2
173,https://example.org/hospital/images/0173.jpg,Room 18 department 2 image,,,,18,2
174,https://example.org/hospital/images/0174.jpg,Room 19 department 2 image,,,,19,2
175,https://example.org/hospital/images/0175.jpg,Room 20 department 2 image,,,,20,2
176,https://example.org/hospital/images/0176.jpg,Room 21 department 2 image,,,,21,2
177,https://example.org/hospital/images/0177.jpg,Room 22 department 2 image,,,,22,2
178,https://example.org/hospital/images/0178.jpg,Room 23 department 2 image,,,,23,2
179,https://example.org/hospital/images/0179.jpg,Room 24 department 2 image,,,,24,2
180,https://example.org/hospital/images/0180.jpg,Room 25 department 2 image,,,,25,2
181,https://example.org/hospital/images/0181.jpg,Room 26 department 2 image,,,,26,2
182,https://example.org/hospital/images/0182.jpg,Room 27 department 2 image,,,,27,2
183,https://example.org/hospital/images/0183.jpg,Room 28 department 2 image,,,,28,2
184,https://example.org/hospital/images/0184.jpg,Room 29 department 2 image,,,,29,2
185,https://example.org/hospital/images/0185.jpg,Room 30 department 2 image,,,,30,2
186,https://example.org/hospital/images/0186.jpg,Room 31 department 2 image,,,,31,2
187,https://example.org/hospital/images/0187.jpg,Room 32 department 2 image,,,,32,2
188,https://example.org/hospital/images/0188.jpg,Room 33 department 2 image,,,,33,2
189,https://example.org/hospital/images/0189.jpg,Room 34 department 2 image,,,,34,2
190,https://example.org/hospital/images/0190.jpg,Room 35 department 2 image,,,,35,2
191,https://example.org/hospital/images/0191.jpg,Room 36 department 2 image,,,,36,2
192,https://example.org/hospital/images/0192.jpg,Room 37 department 2 image,,,,37,2
193,https://example.org/hospital/images/0193.jpg,Room 38 department 2 image,,,,38,2
194,https://example.org/hospital/images/0194.jpg,Room 39 department 2 image,,,,39,2
195,https://example.org/hospital/images/0195.jpg,Room 40 department 2 image,,,,40,2
196,https://example.org/hospital/images/0196.jpg,Procedure room 1 image,1,,,,
197,https://example.org/hospital/images/0197.jpg,Procedure room 2 image,2,,,,
198,https://example.org/hospital/images/0198.jpg,Procedure room 3 image,3,,,,
199,https://example.org/hospital/images/0199.jpg,Procedure room 4 image,4,,,,
200,https://example.org/hospital/images/0200.jpg,Procedure room 5 image,5,,,,
201,https://example.org/hospital/images/0201.jpg,Procedure room 6 image,6,,,,
202,https://example.org/hospital/images/0202.jpg,Procedure room 7 image,7,,,,
203,https://example.org/hospital/images/0203.jpg,Procedure room 8 image,8,,,,
204,https://example.org/hospital/images/0204.jpg,Procedure room 9 image,9,,,,
205,https://example.org/hospital/images/0205.jpg,Procedure room 10 image,10,,,,
206,https://example.org/hospital/images/0206.jpg,Procedure room 11 image,11,,,,
207,https://example.org/hospital/images/0207.jpg,Procedure room 12 image,12,,,,
208,https://example.org/hospital/images/0208.jpg,Procedure room 13 image,13,,,,
209,https://example.org/hospital/images/0209.jpg,Procedure room 14 image,14,,,,
210,https://example.org/hospital/images/0210.jpg,Procedure room 15 image,15,,,,
211,https://example.org/hospital/images/0211.jpg,Procedure room 16 image,16,,,,
212,https://example.org/hospital/images/0212.jpg,Procedure room 17 image,17,,,,
213,https://example.org/hospital/images/0213.jpg,Procedure room 18 image,18,,,,
214,https://example.org/hospital/images/0214.jpg,Procedure room 19 image,19,,,,
215,https://example.org/hospital/images/0215.jpg,Procedure room 20 image,20,,,,
