DrugID,Name,Route,AuthCountry,AuthHolder,MasterFileLocation,Email
100,Abacavir/Lamivudine Mylan,Oral Use,Latvia,Mylan Pharmaceuticals Limited,Italy,productsafety@viatris.com
101,Abacavir/Lamivudine Mylan,Oral Use,Lithuania,Mylan Pharmaceuticals Limited,Italy,productsafety@viatris.com
102,Abacavir/Lamivudine Mylan,Oral Use,United Kingdom (Northern Irela,Generics [uk] Limited,Italy,productsafety@viatris.com
103,Abacavir/Lamivudine Mylan Pharma,Oral Use,United Kingdom (Northern Irela,Generics [uk] Limited,Italy,productsafety@viatris.com
104,Abacavir/Lamivudine Sandoz,Oral Use,Estonia,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com
105,Abacavir/Lamivudine Sandoz,Oral Use,France,Sandoz,Germany,eu-qppv.office@sandoz.com
106,Abacavir/Lamivudine Sandoz,Oral Use,Netherlands,Sandoz B.V.,Germany,eu-qppv.office@sandoz.com
107,Abacavir/Lamivudine Sandoz,Oral Use,Sweden,Sandoz A/S,Germany,eu-qppv.office@sandoz.com
108,Abacavir/Lamivudine Stada,Oral Use,Denmark,Stada Arzneimittel Ag,Germany,dso@stada.de
109,Abacavir/Lamivudine Stada,Oral Use,Finland,Stada Arzneimittel Ag,Germany,dso@stada.de
110,Abacavir/Lamivudine Stada,Oral Use,Romania,Stada M&d S.R.L.,Germany,dso@stada.de
111,Abacavir/Lamivudine Stada,Oral Use,Sweden,Stada Arzneimittel Ag,Germany,dso@stada.de
112,Abacavir/Lamivudine Sun,Oral Use,United Kingdom (Northern Irela,Sun Pharmaceutical Industries Europe B.V.,Romania,drugsafetyeurope@sunpharma.com
113,Abacavir/Lamivudine Teva,Oral Use,Estonia,Teva B.V,Croatia,safety.europe@tevaeu.com
114,Abacavir/Lamivudine Teva,Oral Use,France,Teva Santé,Croatia,safety.europe@tevaeu.com
115,Abacavir/Lamivudine Teva,Oral Use,Hungary,Teva Gyógyszergyár Zrt,Croatia,safety.europe@tevaeu.com
116,Abacavir/Lamivudine Unifarma,Oral Use,Latvia,Unifarma,Latvia,safety@snovigroup.com
117,Abacavir/Lamivudine Viatris,Oral Use,Belgium,Viatris Gx,Italy,productsafety@viatris.com
118,Abacavir/Lamivudine Viatris,Oral Use,Bulgaria,Viatris Limited,Italy,productsafety@viatris.com
119,Abacavir/Lamivudine Viatris,Oral Use,Estonia,Viatris Limited,Italy,productsafety@viatris.com
120,Abacavir/Lamivudine Viatris,Oral Use,France,Viatris Sante,Italy,productsafety@viatris.com
121,Abacavir/Lamivudine Viatris,Oral Use,Ireland,Viatris Limited,Italy,productsafety@viatris.com
122,Abacavir/Lamivudine Viatris,Oral Use,Latvia,Viatris Limited,Italy,productsafety@viatris.com
123,Abacavir/Lamivudine Viatris,Oral Use,Lithuania,Viatris Limited,Italy,productsafety@viatris.com
124,Abacavir/Lamivudine Viatris,Oral Use,Luxembourg,Viatris Gx,Italy,productsafety@viatris.com
125,Abacavir/Lamivudine Viatris,Oral Use,Netherlands,Viatris Limited,Italy,productsafety@viatris.com
126,Abacavir/Lamivudine Viatris,Oral Use,Norway,Viatris Limited,Italy,productsafety@viatris.com
127,Abacavir/Lamivudine Viatris Generiques,Oral Use,France,Viatris Sante,Italy,productsafety@viatris.com
128,Abacavir/Lamivudine Zentiva,Oral Use,France,Zentiva France,Czech Republic,pharmacovigilance@zentiva.com
129,Abacavir/Lamivudine/Zidovudine Mylan,Oral Use,Netherlands,Mylan Pharmaceuticals Limited,Italy,productsafety@viatris.com
130,Abacavir/Lamivudine/Zidovudine Viatris,Oral Use,France,Viatris Sante,Italy,productsafety@viatris.com
131,Abacavir+lamivudine Accord,Oral Use,Poland,Accord Healthcare Polska Sp. Z O.O.,Poland,arlettawerynska@lambda-cro.com
132,Abacavir+lamivudine Mylan Pharma,Oral Use,Greece,Mylan Pharmaceuticals Limited,Italy,productsafety@viatris.com
133,Abagat,Oral Use,Malta,"Galenicum Health, S.L.",Spain,pharmacovigilance@galenicum.co
134,Abagat,Oral Use,Poland,Polfarmex S.A.,Poland,k.zolbach@polfarmex.pl
135,Abakavir/Lamivudin Mylan Pharma,Oral Use,Sweden,Mylan Ab,Italy,productsafety@viatris.com
136,Abakavir/Lamivudin Viatris,Oral Use,Finland,Viatris Limited,Italy,productsafety@viatris.com
137,Abaktal,Oral Use,Czech Republic,Lek Pharmaceuticals D.D. Ljubljana,Germany,eu-qppv.office@sandoz.com
138,Abaktal,Oral Use,Slovakia,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com
139,Abalon,Oral Use,Germany,Tad Pharma Gmbh,Slovenia,Drug-Safety@tad.de
140,Aban,Oral Use,Croatia,Alpha-Medical D.O.O.,Croatia,drugsafety@c-nova.com
141,Abasaglar,Subcutaneous Use,European Union,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries
142,Abasaglar,Subcutaneous Use,Iceland,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries
143,Abasaglar,Subcutaneous Use,Liechtenstein,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries
144,Abasaglar Kwikpen,Subcutaneous Use,European Union,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries
145,Abasaglar Kwikpen,Subcutaneous Use,Iceland,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries
146,Abasaglar Kwikpen,Subcutaneous Use,Liechtenstein,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries
147,Abasaglar Tempo Pen,Subcutaneous Use,European Union,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries
148,Abasaglar Tempo Pen,Subcutaneous Use,Iceland,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries
149,Abasaglar Tempo Pen,Subcutaneous Use,Liechtenstein,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries
150,Abasaglar Tempo Pen,Subcutaneous Use,Norway,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries
151,Abatixent,Oral Use,Austria,Sandoz Gmbh,Germany,eu-qppv.office@sandoz.com
152,Abatixent,Oral Use,Bulgaria,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com
153,Abatixent,Oral Use,Croatia,Sandoz D.O.O.,Germany,eu-qppv.office@sandoz.com
154,Abatixent,Oral Use,Estonia,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com
155,Abatixent,Oral Use,Latvia,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com
156,Abatixent,Oral Use,Lithuania,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com
157,Abatixent,Oral Use,Netherlands,Sandoz B.V.,Germany,eu-qppv.office@sandoz.com
158,Abatixent,Oral Use,Poland,Sandoz Gmbh,Germany,eu-qppv.office@sandoz.com
159,Abatixent,Oral Use,Romania,Sandoz Pharmaceuticals S.R.L.,Germany,eu-qppv.office@sandoz.com
160,Abatixent,Oral Use,Slovenia,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com
161,Abator,Oral Use,Cyprus,Sapiens Pharmaceuticals Ltd,Cyprus,pv@sapienspharma.com
162,Abattra,Transdermal Use,Spain,"Aristo Pharma Iberia, S.L.",Germany,pharmacovigilance@aristo-iberi
163,Abavalex,Oral Use,Austria,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at
164,Abavalex,Oral Use,Bulgaria,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at
165,Abavalex,Oral Use,Czech Republic,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at
166,Abavalex,Oral Use,Denmark,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at
167,Abavalex,Oral Use,Germany,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at
168,Abavalex,Oral Use,Hungary,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at
169,Abavalex,Oral Use,Poland,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at
170,Abavalex,Oral Use,Romania,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at
171,Abavalex,Oral Use,Slovakia,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at
172,Abavalex,Oral Use,Sweden,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at
173,Abaxan,Oral Use,Hungary,Mensana Pharma Ltd,Hungary,mensana@oncopharma.hu
174,Abba,Oral Use,Italy,Fidia Farmaceutici S.P.A,Italy,phv@fidiapharma.it
175,Abbonate,Oral Use,Denmark,Abboxia Ab,Sweden,safety@frostpharma.com
176,Abbonate,Oral Use,Finland,Abboxia Ab,Sweden,safety@frostpharma.com
177,Abbonate,Oral Use,Iceland,Abboxia Ab,Sweden,safety@frostpharma.com
178,Abbonate,Oral Use,Norway,Abboxia Ab,Sweden,safety@frostpharma.com
179,Abbonate,Oral Use,Sweden,Abboxia Ab,Sweden,safety@frostpharma.com
180,Abboticin,Intravenous Use,Finland,Amdipharm Limited,France,medicalinformation@advanzpharm
181,Abboticin,Oral Use,Norway,Amdipharm Limited,France,medicalinformation@advanzpharm
182,Abboticin,Oral Use,Sweden,Amdipharm Limited,France,medicalinformation@advanzpharm
183,Abboticin,Oral Use,Denmark,Amdipharm Limited,France,medicalinformation@advanzpharm
184,Abboticin,Intravenous Use,Denmark,Amdipharm Limited,France,medicalinformation@advanzpharm
185,Abboticin,Intravenous Use,Norway,Amdipharm Limited,France,medicalinformation@advanzpharm
186,Abboticin,Intravenous Use,Sweden,Amdipharm Limited,France,medicalinformation@advanzpharm
187,Abboticin Es,Oral Use,Norway,Amdipharm Limited,France,medicalinformation@advanzpharm
188,Abboticin Novum,Oral Use,Finland,Amdipharm Limited,France,medicalinformation@advanzpharm
189,Abboticin Novum,Oral Use,Sweden,Amdipharm Limited,France,medicalinformation@advanzpharm
190,Abboticin Novum,Oral Use,Denmark,Amdipharm Limited,France,medicalinformation@advanzpharm
191,Abc Lokale Schmerz-Therapie Aktiv-Pflast,Cutaneous Use,Austria,Beiersdorf Ag,Germany,pharmacovigilance@beiersdorf.c
192,Abc Lokale Schmerz-Therapie Wärme,Cutaneous Use,Austria,Beiersdorf Ag,Germany,pharmacovigilance@beiersdorf.c
193,Abc Lokale Schmerz-Therapie Wärme,Cutaneous Use,Germany,Beiersdorf Ag,Germany,pharmacovigilance@beiersdorf.c
194,Abc Lokale Schmerz-Therapie Wärme-Pflast,Cutaneous Use,Austria,Beiersdorf Ag,Germany,pharmacovigilance@beiersdorf.c
195,Abc Lokale Schmerz-Therapie Wärme-Pflast,Cutaneous Use,Germany,Beiersdorf Ag,Germany,pharmacovigilance@beiersdorf.c
196,Abdine Cold Relief,Oral Use,United Kingdom (Northern Irela,Bell Sons & Co (Druggists) Ltd,United Kingdom,Med-info@bells-healthcare.com
197,Abdine Hot Lemon Cold Relief,Oral Use,United Kingdom (Northern Irela,Bell Sons & Co (Druggists) Ltd,United Kingdom,Med-info@bells-healthcare.com
198,Abdomilon N Für Erwachsene Und Heranwach,Oral Use,Germany,Cesra Arzneimittel Gmbh And Co. Kg,Germany,drugsafety@cesra.de
199,Abdomin Citrus,Oral Use,Denmark,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com
200,Abdomin Citrus,Oral Use,Sweden,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com
201,Abdomin Junior Med Nøytral Smak,Oral Use,Norway,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com
202,Abdomin Junior Neutral,Oral Use,Denmark,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com
203,Abdomin Junior Neutral,Oral Use,Sweden,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com
204,Abdomin Med Nøytral Smak,Oral Use,Norway,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com
205,Abdomin Med Sitrussmak,Oral Use,Norway,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com
206,Abdomin Neutral,Oral Use,Denmark,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com
207,Abdomin Neutral,Oral Use,Sweden,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com
208,Abe,Cutaneous Use,Poland,Grupa Inco S.A.,Poland,grupainco@sciencepharma.pl
209,Abeced,Oral Use,Spain,Adamed Pharma S.A.,Poland,pv@adamed.com
210,Abecma,Intravenous Use,European Union,Bristol-Myers Squibb Pharma Eeig,Austria,BMS-EU-QPPV@bms.com
211,Abecma,Intravenous Use,Iceland,Bristol-Myers Squibb Pharma Eeig,Austria,BMS-EU-QPPV@bms.com
212,Abecma,Intravenous Use,Liechtenstein,Bristol-Myers Squibb Pharma Eeig,Austria,BMS-EU-QPPV@bms.com
213,Abecma,Intravenous Use,Norway,Bristol-Myers Squibb Pharma Eeig,Austria,BMS-EU-QPPV@bms.com
214,Abecol,Oral Use,Sweden,Evolan Pharma Ab,Czech Republic,pv@evolan.se
215,Abedel,Oral Use,Lithuania,Adamed Pharma S.A.,Poland,pv@adamed.com
216,Abelcet,Intravenous Use,France,Acino France Sas,Germany,pv@acino.swiss
217,Abelcet,Intravenous Use,Hungary,Teva Gyógyszergyár Zrt,Croatia,safety.europe@tevaeu.com
218,Abelcet,Intravenous Use,Poland,Teva Pharmaceuticals Polska Sp. Z O.O.,Croatia,safety.europe@tevaeu.com
219,Abelcet,Intravenous Use,Portugal,Teva Pharma – Produtos Farmacêuticos Lda,Croatia,safety.europe@tevaeu.com
220,Abelcet Complejo Lipídico,Intravenous Use,Spain,"Teva Pharma S.L.U.,",Croatia,safety.europe@tevaeu.com
221,Abelcet Lipid Complex,Intravenous Use,Czech Republic,"Teva Pharmaceuticals Cr, S.R.O.",Croatia,safety.europe@tevaeu.com
222,Abelcet Lipid Complex,Intravenous Use,Luxembourg,Teva Pharma Belgium N.V./S.A,Croatia,safety.europe@tevaeu.com
223,Abelcet Lipid Complex,Intravenous Use,Slovakia,Teva Pharmaceuticals Slovakia S.R.O,Croatia,safety.europe@tevaeu.com
224,Abelfiz,Oral Use,Greece,Pharmazac Sa,Greece,safety@vigi-care.eu
225,Abella,Oral Use,Czech Republic,Ardez Pharma,Czech Republic,farmakovigilance@ardez.cz
226,Abemax,Oral Use,Spain,"Meiji Pharma Spain, S.A.",Spain,drug.safety@meiji.es
227,Abemot,Oral,Croatia,Abela Pharm D.O.O.,Croatia,nuspojave@bonifarm.hr
228,Abemot 1 Mg,Oral,Croatia,Abela Pharm D.O.O.,Croatia,nuspojave@bonifarm.hr
229,Abendur,Oral Use,Ireland,Ascot Laboratories (Ireland) Limited,Croatia,lucija.bedenikovic@tigermedgrp
230,Aberipra,Oral Use,Italy,Ecupharma S.R.L.,Italy,pharmacovigilance@direnzo.biz
231,Abernil,Oral Use,Cyprus,Medochemie Ltd.,Cyprus,pharmacovigilance@medochemie.c
232,Abesart,Oral Use,Italy,Genetic Spa,Italy,phv@geneticspa.it
233,Abesyl,Oral Use,Greece,Medochemie Hellas Sa,Cyprus,pharmacovigilance@medochemie.c
234,Abevmy,Intravenous Use,European Union,Biosimilar Collaborations Ireland Limited,Croatia,sanja.prpic@primevigilance.com
235,Abevmy,Intravenous Use,Iceland,Biosimilar Collaborations Ireland Limited,Croatia,sanja.prpic@primevigilance.com
236,Abevmy,Intravenous Use,Liechtenstein,Biosimilar Collaborations Ireland Limited,Croatia,sanja.prpic@primevigilance.com
