RootDoctorAMKA	RootDoctorName	CurrentDoctorAMKA	CurrentDoctorName	CurrentDoctorRank	Level	SupervisorAMKA
10000000031	Michalis Konstantinou	10000000020	Georgia Sotiriou	Director	2	NULL
10000000032	Christos Pavlidis	10000000020	Georgia Sotiriou	Director	1	NULL
10000000033	Giannis Athanasiou	10000000020	Georgia Sotiriou	Director	1	NULL
10000000034	Sofia Ioannou	10000000020	Georgia Sotiriou	Director	1	NULL
10000000035	Vasilis Vasiliou	10000000033	Giannis Athanasiou	Registrar	1	10000000020
10000000035	Vasilis Vasiliou	10000000020	Georgia Sotiriou	Director	2	NULL
10000000036	Vasiliki Petrou	10000000020	Georgia Sotiriou	Director	1	NULL
10000000037	Ioanna Pavlidis	10000000020	Georgia Sotiriou	Director	1	NULL
10000000038	Natalia Sotiriou	10000000020	Georgia Sotiriou	Director	1	NULL
10000000039	Anna Kostopoulos	10000000029	Michalis Lazarou	Consultant	1	10000000020
10000000039	Anna Kostopoulos	10000000020	Georgia Sotiriou	Director	2	NULL
10000000041	Marios Vasiliou	10000000040	Andreas Athanasiou	Director	1	NULL
10000000042	Kostas Dimitriou	10000000056	Natalia Konstantinou	Consultant	1	10000000040
10000000042	Kostas Dimitriou	10000000040	Andreas Athanasiou	Director	2	NULL
10000000043	Sofia Nikolaou	10000000040	Andreas Athanasiou	Director	1	NULL
10000000044	Marios Ioannou	10000000040	Andreas Athanasiou	Director	1	NULL
10000000045	Dimitris Petrou	10000000052	Michalis Petrou	Consultant	1	10000000040
10000000045	Dimitris Petrou	10000000040	Andreas Athanasiou	Director	2	NULL
10000000046	Andreas Nikolaou	10000000040	Andreas Athanasiou	Director	1	NULL
10000000047	Giannis Kostopoulos	10000000040	Andreas Athanasiou	Director	1	NULL
10000000048	Andreas Vasiliou	10000000050	Katerina Nikolaou	Registrar	1	10000000040
10000000048	Andreas Vasiliou	10000000040	Andreas Athanasiou	Director	2	NULL
10000000049	Katerina Theodorou	10000000040	Andreas Athanasiou	Director	1	NULL
10000000050	Katerina Nikolaou	10000000040	Andreas Athanasiou	Director	1	NULL
10000000051	Vasilis Petrou	10000000052	Michalis Petrou	Consultant	1	10000000040
10000000051	Vasilis Petrou	10000000040	Andreas Athanasiou	Director	2	NULL
10000000052	Michalis Petrou	10000000040	Andreas Athanasiou	Director	1	NULL
10000000053	Sofia Kostopoulos	10000000040	Andreas Athanasiou	Director	1	NULL
10000000054	Vasiliki Petrou	10000000040	Andreas Athanasiou	Director	1	NULL
10000000055	Chrysa Papadopoulos	10000000057	Chrysa Lazarou	Registrar	1	10000000040
10000000055	Chrysa Papadopoulos	10000000040	Andreas Athanasiou	Director	2	NULL
10000000056	Natalia Konstantinou	10000000040	Andreas Athanasiou	Director	1	NULL
10000000057	Chrysa Lazarou	10000000040	Andreas Athanasiou	Director	1	NULL
10000000058	Dimitra Dimitriou	10000000040	Andreas Athanasiou	Director	1	NULL
10000000059	Katerina Petrou	10000000057	Chrysa Lazarou	Registrar	1	10000000040
10000000059	Katerina Petrou	10000000040	Andreas Athanasiou	Director	2	NULL
10000000061	Maria Pavlidis	10000000060	Sofia Alexiou	Director	1	NULL
10000000062	Giorgos Nikolaou	10000000061	Maria Pavlidis	Consultant	1	10000000060
10000000062	Giorgos Nikolaou	10000000060	Sofia Alexiou	Director	2	NULL
10000000063	Evangelia Athanasiou	10000000060	Sofia Alexiou	Director	1	NULL
10000000064	Georgia Kostopoulos	10000000060	Sofia Alexiou	Director	1	NULL
10000000065	Anna Athanasiou	10000000063	Evangelia Athanasiou	Consultant	1	10000000060
10000000065	Anna Athanasiou	10000000060	Sofia Alexiou	Director	2	NULL
10000000066	Dimitra Alexiou	10000000060	Sofia Alexiou	Director	1	NULL
10000000067	Stavros Dimitriou	10000000060	Sofia Alexiou	Director	1	NULL
10000000068	Christos Georgiou	10000000067	Stavros Dimitriou	Registrar	1	10000000060
10000000068	Christos Georgiou	10000000060	Sofia Alexiou	Director	2	NULL
10000000069	Eleni Dimitriou	10000000060	Sofia Alexiou	Director	1	NULL
10000000070	Ioanna Kostopoulos	10000000060	Sofia Alexiou	Director	1	NULL
10000000071	Dimitra Nikolaou	10000000064	Georgia Kostopoulos	Registrar	1	10000000060
10000000071	Dimitra Nikolaou	10000000060	Sofia Alexiou	Director	2	NULL
10000000072	Katerina Petrou	10000000060	Sofia Alexiou	Director	1	NULL
10000000073	Marios Papadopoulos	10000000060	Sofia Alexiou	Director	1	NULL
10000000074	Michalis Vasiliou	10000000060	Sofia Alexiou	Director	1	NULL
10000000075	Andreas Vasiliou	10000000070	Ioanna Kostopoulos	Registrar	1	10000000060
10000000075	Andreas Vasiliou	10000000060	Sofia Alexiou	Director	2	NULL
10000000076	Sofia Lazarou	10000000060	Sofia Alexiou	Director	1	NULL
10000000077	Stavros Dimitriou	10000000060	Sofia Alexiou	Director	1	NULL
10000000078	Michalis Lazarou	10000000060	Sofia Alexiou	Director	1	NULL
10000000079	Giorgos Pavlidis	10000000061	Maria Pavlidis	Consultant	1	10000000060
10000000079	Giorgos Pavlidis	10000000060	Sofia Alexiou	Director	2	NULL
10000000081	Andreas Papadopoulos	10000000080	Petros Georgiou	Director	1	NULL
10000000082	Christos Vasiliou	10000000093	Giannis Sotiriou	Registrar	1	10000000080
10000000082	Christos Vasiliou	10000000080	Petros Georgiou	Director	2	NULL
10000000083	Ioanna Dimitriou	10000000080	Petros Georgiou	Director	1	NULL
10000000084	Evangelia Vasiliou	10000000080	Petros Georgiou	Director	1	NULL
10000000085	Stavros Dimitriou	10000000090	Georgia Petrou	Registrar	1	10000000080
10000000085	Stavros Dimitriou	10000000080	Petros Georgiou	Director	2	NULL
10000000086	Maria Lazarou	10000000080	Petros Georgiou	Director	1	NULL
10000000087	Nikos Ioannou	10000000080	Petros Georgiou	Director	1	NULL
10000000088	Michalis Ioannou	10000000093	Giannis Sotiriou	Registrar	1	10000000080
10000000088	Michalis Ioannou	10000000080	Petros Georgiou	Director	2	NULL
10000000089	Chrysa Ioannou	10000000080	Petros Georgiou	Director	1	NULL
10000000090	Georgia Petrou	10000000080	Petros Georgiou	Director	1	NULL
10000000091	Anastasia Vasiliou	10000000092	Vasilis Theodorou	Consultant	1	10000000080
10000000091	Anastasia Vasiliou	10000000080	Petros Georgiou	Director	2	NULL
10000000092	Vasilis Theodorou	10000000080	Petros Georgiou	Director	1	NULL
10000000093	Giannis Sotiriou	10000000080	Petros Georgiou	Director	1	NULL
10000000094	Sofia Ioannou	10000000080	Petros Georgiou	Director	1	NULL
10000000095	Petros Dimitriou	10000000097	Georgia Nikolaou	Registrar	1	10000000080
10000000095	Petros Dimitriou	10000000080	Petros Georgiou	Director	2	NULL
10000000096	Anna Konstantinou	10000000080	Petros Georgiou	Director	1	NULL
10000000097	Georgia Nikolaou	10000000080	Petros Georgiou	Director	1	NULL
10000000098	Marios Kostopoulos	10000000080	Petros Georgiou	Director	1	NULL
10000000099	Marios Ioannou	10000000098	Marios Kostopoulos	Consultant	1	10000000080
10000000099	Marios Ioannou	10000000080	Petros Georgiou	Director	2	NULL
10000000101	Anastasia Vasiliou	10000000100	Kostas Alexiou	Director	1	NULL
10000000102	Christos Petrou	10000000113	Nikos Ioannou	Registrar	1	10000000100
10000000102	Christos Petrou	10000000100	Kostas Alexiou	Director	2	NULL
10000000103	Natalia Nikolaou	10000000100	Kostas Alexiou	Director	1	NULL
10000000104	Panagiotis Petrou	10000000100	Kostas Alexiou	Director	1	NULL
10000000105	Anastasia Lazarou	10000000118	Dimitra Pavlidis	Consultant	1	10000000100
10000000105	Anastasia Lazarou	10000000100	Kostas Alexiou	Director	2	NULL
10000000106	Marios Konstantinou	10000000100	Kostas Alexiou	Director	1	NULL
10000000107	Dimitra Lazarou	10000000100	Kostas Alexiou	Director	1	NULL
10000000108	Eleni Kostopoulos	10000000112	Vasiliki Pavlidis	Consultant	1	10000000100
10000000108	Eleni Kostopoulos	10000000100	Kostas Alexiou	Director	2	NULL
10000000109	Marios Pavlidis	10000000100	Kostas Alexiou	Director	1	NULL
10000000110	Christos Dimitriou	10000000100	Kostas Alexiou	Director	1	NULL
10000000111	Nikos Nikolaou	10000000106	Marios Konstantinou	Consultant	1	10000000100
10000000111	Nikos Nikolaou	10000000100	Kostas Alexiou	Director	2	NULL
10000000112	Vasiliki Pavlidis	10000000100	Kostas Alexiou	Director	1	NULL
10000000113	Nikos Ioannou	10000000100	Kostas Alexiou	Director	1	NULL
10000000114	Panagiota Vasiliou	10000000100	Kostas Alexiou	Director	1	NULL
10000000115	Ioanna Vasiliou	10000000118	Dimitra Pavlidis	Consultant	1	10000000100
10000000115	Ioanna Vasiliou	10000000100	Kostas Alexiou	Director	2	NULL
10000000116	Dimitris Ioannou	10000000100	Kostas Alexiou	Director	1	NULL
10000000117	Katerina Ioannou	10000000100	Kostas Alexiou	Director	1	NULL
10000000118	Dimitra Pavlidis	10000000100	Kostas Alexiou	Director	1	NULL
10000000119	Stavros Ioannou	10000000101	Anastasia Vasiliou	Consultant	1	10000000100
10000000119	Stavros Ioannou	10000000100	Kostas Alexiou	Director	2	NULL
10000000121	Vasiliki Nikolaou	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000122	Marios Athanasiou	10000000123	Georgia Georgiou	Consultant	1	10000000120
10000000122	Marios Athanasiou	10000000120	Georgia Papadopoulos	Director	2	NULL
10000000123	Georgia Georgiou	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000124	Marios Sotiriou	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000125	Nikos Sotiriou	10000000138	Michalis Pavlidis	Consultant	1	10000000120
10000000125	Nikos Sotiriou	10000000120	Georgia Papadopoulos	Director	2	NULL
10000000126	Petros Kostopoulos	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000127	Nikos Alexiou	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000128	Natalia Sotiriou	10000000132	Dimitra Konstantinou	Consultant	1	10000000120
10000000128	Natalia Sotiriou	10000000120	Georgia Papadopoulos	Director	2	NULL
10000000129	Stavros Kostopoulos	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000130	Ioanna Konstantinou	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000131	Anna Alexiou	10000000133	Anastasia Petrou	Registrar	1	10000000120
10000000131	Anna Alexiou	10000000120	Georgia Papadopoulos	Director	2	NULL
10000000132	Dimitra Konstantinou	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000133	Anastasia Petrou	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000134	Giannis Papadopoulos	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000135	Giannis Papadopoulos	10000000132	Dimitra Konstantinou	Consultant	1	10000000120
10000000135	Giannis Papadopoulos	10000000120	Georgia Papadopoulos	Director	2	NULL
10000000136	Nikos Konstantinou	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000137	Anna Athanasiou	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000138	Michalis Pavlidis	10000000120	Georgia Papadopoulos	Director	1	NULL
10000000139	Katerina Lazarou	10000000132	Dimitra Konstantinou	Consultant	1	10000000120
10000000139	Katerina Lazarou	10000000120	Georgia Papadopoulos	Director	2	NULL
10000000141	Panagiota Petrou	10000000140	Sofia Petrou	Director	1	NULL
10000000142	Petros Nikolaou	10000000158	Evangelia Kostopoulos	Consultant	1	10000000140
10000000142	Petros Nikolaou	10000000140	Sofia Petrou	Director	2	NULL
10000000143	Giorgos Georgiou	10000000140	Sofia Petrou	Director	1	NULL
10000000144	Nikos Lazarou	10000000140	Sofia Petrou	Director	1	NULL
10000000145	Spyros Vasiliou	10000000144	Nikos Lazarou	Registrar	1	10000000140
10000000145	Spyros Vasiliou	10000000140	Sofia Petrou	Director	2	NULL
10000000146	Maria Ioannou	10000000140	Sofia Petrou	Director	1	NULL
10000000147	Michalis Dimitriou	10000000140	Sofia Petrou	Director	1	NULL
10000000148	Spyros Petrou	10000000153	Natalia Georgiou	Registrar	1	10000000140
10000000148	Spyros Petrou	10000000140	Sofia Petrou	Director	2	NULL
10000000149	Anna Kostopoulos	10000000140	Sofia Petrou	Director	1	NULL
10000000150	Dimitra Theodorou	10000000140	Sofia Petrou	Director	1	NULL
10000000151	Spyros Kostopoulos	10000000149	Anna Kostopoulos	Consultant	1	10000000140
10000000151	Spyros Kostopoulos	10000000140	Sofia Petrou	Director	2	NULL
10000000152	Eleni Dimitriou	10000000140	Sofia Petrou	Director	1	NULL
10000000153	Natalia Georgiou	10000000140	Sofia Petrou	Director	1	NULL
10000000154	Stavros Ioannou	10000000140	Sofia Petrou	Director	1	NULL
10000000155	Anastasia Sotiriou	10000000152	Eleni Dimitriou	Consultant	1	10000000140
10000000155	Anastasia Sotiriou	10000000140	Sofia Petrou	Director	2	NULL
10000000156	Andreas Alexiou	10000000140	Sofia Petrou	Director	1	NULL
10000000157	Michalis Konstantinou	10000000140	Sofia Petrou	Director	1	NULL
10000000158	Evangelia Kostopoulos	10000000140	Sofia Petrou	Director	1	NULL
10000000159	Anna Pavlidis	10000000158	Evangelia Kostopoulos	Consultant	1	10000000140
10000000159	Anna Pavlidis	10000000140	Sofia Petrou	Director	2	NULL
10000000161	Giorgos Theodorou	10000000160	Dimitra Theodorou	Director	1	NULL
10000000162	Andreas Nikolaou	10000000164	Stavros Sotiriou	Registrar	1	10000000160
10000000162	Andreas Nikolaou	10000000160	Dimitra Theodorou	Director	2	NULL
10000000163	Sofia Pavlidis	10000000160	Dimitra Theodorou	Director	1	NULL
10000000164	Stavros Sotiriou	10000000160	Dimitra Theodorou	Director	1	NULL
10000000165	Georgia Papadopoulos	10000000166	Andreas Georgiou	Consultant	1	10000000160
10000000165	Georgia Papadopoulos	10000000160	Dimitra Theodorou	Director	2	NULL
10000000166	Andreas Georgiou	10000000160	Dimitra Theodorou	Director	1	NULL
10000000167	Spyros Konstantinou	10000000160	Dimitra Theodorou	Director	1	NULL
10000000168	Andreas Theodorou	10000000173	Chrysa Papadopoulos	Registrar	1	10000000160
10000000168	Andreas Theodorou	10000000160	Dimitra Theodorou	Director	2	NULL
10000000169	Andreas Konstantinou	10000000160	Dimitra Theodorou	Director	1	NULL
10000000170	Stavros Dimitriou	10000000160	Dimitra Theodorou	Director	1	NULL
10000000171	Natalia Ioannou	10000000161	Giorgos Theodorou	Consultant	1	10000000160
10000000171	Natalia Ioannou	10000000160	Dimitra Theodorou	Director	2	NULL
10000000172	Maria Ioannou	10000000160	Dimitra Theodorou	Director	1	NULL
10000000173	Chrysa Papadopoulos	10000000160	Dimitra Theodorou	Director	1	NULL
10000000174	Petros Athanasiou	10000000160	Dimitra Theodorou	Director	1	NULL
10000000175	Vasilis Pavlidis	10000000178	Christos Petrou	Consultant	1	10000000160
10000000175	Vasilis Pavlidis	10000000160	Dimitra Theodorou	Director	2	NULL
10000000176	Dimitra Georgiou	10000000160	Dimitra Theodorou	Director	1	NULL
10000000177	Giannis Papadopoulos	10000000160	Dimitra Theodorou	Director	1	NULL
10000000178	Christos Petrou	10000000160	Dimitra Theodorou	Director	1	NULL
10000000179	Petros Sotiriou	10000000163	Sofia Pavlidis	Consultant	1	10000000160
10000000179	Petros Sotiriou	10000000160	Dimitra Theodorou	Director	2	NULL
10000000181	Spyros Georgiou	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000182	Michalis Alexiou	10000000198	Giorgos Konstantinou	Consultant	1	10000000180
10000000182	Michalis Alexiou	10000000180	Andreas Papadopoulos	Director	2	NULL
10000000183	Katerina Pavlidis	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000184	Stavros Papadopoulos	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000185	Eleni Lazarou	10000000187	Petros Lazarou	Registrar	1	10000000180
10000000185	Eleni Lazarou	10000000180	Andreas Papadopoulos	Director	2	NULL
10000000186	Vasiliki Ioannou	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000187	Petros Lazarou	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000188	Vasilis Dimitriou	10000000184	Stavros Papadopoulos	Registrar	1	10000000180
10000000188	Vasilis Dimitriou	10000000180	Andreas Papadopoulos	Director	2	NULL
10000000189	Anna Lazarou	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000190	Petros Petrou	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000191	Dimitra Nikolaou	10000000186	Vasiliki Ioannou	Consultant	1	10000000180
10000000191	Dimitra Nikolaou	10000000180	Andreas Papadopoulos	Director	2	NULL
10000000192	Panagiota Papadopoulos	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000193	Anastasia Lazarou	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000194	Anna Athanasiou	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000195	Dimitris Kostopoulos	10000000184	Stavros Papadopoulos	Registrar	1	10000000180
10000000195	Dimitris Kostopoulos	10000000180	Andreas Papadopoulos	Director	2	NULL
10000000196	Kostas Pavlidis	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000197	Anastasia Lazarou	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000198	Giorgos Konstantinou	10000000180	Andreas Papadopoulos	Director	1	NULL
10000000199	Natalia Petrou	10000000189	Anna Lazarou	Consultant	1	10000000180
10000000199	Natalia Petrou	10000000180	Andreas Papadopoulos	Director	2	NULL
10000000201	Sofia Kostopoulos	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000202	Petros Konstantinou	10000000201	Sofia Kostopoulos	Consultant	1	10000000200
10000000202	Petros Konstantinou	10000000200	Dimitra Dimitriou	Director	2	NULL
10000000203	Marios Nikolaou	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000204	Natalia Ioannou	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000205	Panagiotis Kostopoulos	10000000217	Vasiliki Dimitriou	Registrar	1	10000000200
10000000205	Panagiotis Kostopoulos	10000000200	Dimitra Dimitriou	Director	2	NULL
10000000206	Chrysa Georgiou	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000207	Ioanna Nikolaou	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000208	Michalis Georgiou	10000000218	Panagiota Ioannou	Consultant	1	10000000200
10000000208	Michalis Georgiou	10000000200	Dimitra Dimitriou	Director	2	NULL
10000000209	Andreas Georgiou	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000210	Petros Konstantinou	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000211	Ioanna Kostopoulos	10000000204	Natalia Ioannou	Registrar	1	10000000200
10000000211	Ioanna Kostopoulos	10000000200	Dimitra Dimitriou	Director	2	NULL
10000000212	Sofia Vasiliou	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000213	Vasilis Alexiou	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000214	Anna Petrou	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000215	Anna Theodorou	10000000214	Anna Petrou	Consultant	1	10000000200
10000000215	Anna Theodorou	10000000200	Dimitra Dimitriou	Director	2	NULL
10000000216	Eleni Kostopoulos	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000217	Vasiliki Dimitriou	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000218	Panagiota Ioannou	10000000200	Dimitra Dimitriou	Director	1	NULL
10000000219	Sofia Lazarou	10000000210	Petros Konstantinou	Registrar	1	10000000200
10000000219	Sofia Lazarou	10000000200	Dimitra Dimitriou	Director	2	NULL
10000000221	Sofia Nikolaou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000222	Kostas Sotiriou	10000000238	Evangelia Nikolaou	Consultant	1	10000000220
10000000222	Kostas Sotiriou	10000000220	Vasiliki Athanasiou	Director	2	NULL
10000000223	Georgia Ioannou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000224	Katerina Ioannou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000225	Petros Lazarou	10000000230	Anna Georgiou	Registrar	1	10000000220
10000000225	Petros Lazarou	10000000220	Vasiliki Athanasiou	Director	2	NULL
10000000226	Sofia Lazarou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000227	Panagiota Ioannou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000228	Kostas Vasiliou	10000000221	Sofia Nikolaou	Consultant	1	10000000220
10000000228	Kostas Vasiliou	10000000220	Vasiliki Athanasiou	Director	2	NULL
10000000229	Giorgos Ioannou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000230	Anna Georgiou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000231	Georgia Vasiliou	10000000229	Giorgos Ioannou	Consultant	1	10000000220
10000000231	Georgia Vasiliou	10000000220	Vasiliki Athanasiou	Director	2	NULL
10000000232	Georgia Theodorou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000233	Evangelia Konstantinou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000234	Vasilis Athanasiou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000235	Michalis Alexiou	10000000230	Anna Georgiou	Registrar	1	10000000220
10000000235	Michalis Alexiou	10000000220	Vasiliki Athanasiou	Director	2	NULL
10000000236	Christos Athanasiou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000237	Katerina Georgiou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000238	Evangelia Nikolaou	10000000220	Vasiliki Athanasiou	Director	1	NULL
10000000239	Kostas Vasiliou	10000000233	Evangelia Konstantinou	Registrar	1	10000000220
10000000239	Kostas Vasiliou	10000000220	Vasiliki Athanasiou	Director	2	NULL
10000000241	Eleni Nikolaou	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000242	Maria Nikolaou	10000000252	Petros Alexiou	Consultant	1	10000000240
10000000242	Maria Nikolaou	10000000240	Evangelia Athanasiou	Director	2	NULL
10000000243	Sofia Vasiliou	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000244	Dimitra Petrou	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000245	Sofia Dimitriou	10000000257	Ioanna Nikolaou	Registrar	1	10000000240
10000000245	Sofia Dimitriou	10000000240	Evangelia Athanasiou	Director	2	NULL
10000000246	Sofia Papadopoulos	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000247	Spyros Athanasiou	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000248	Kostas Theodorou	10000000254	Evangelia Kostopoulos	Consultant	1	10000000240
10000000248	Kostas Theodorou	10000000240	Evangelia Athanasiou	Director	2	NULL
10000000249	Giannis Petrou	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000250	Stavros Papadopoulos	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000251	Christos Lazarou	10000000243	Sofia Vasiliou	Consultant	1	10000000240
10000000251	Christos Lazarou	10000000240	Evangelia Athanasiou	Director	2	NULL
10000000252	Petros Alexiou	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000253	Panagiota Sotiriou	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000254	Evangelia Kostopoulos	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000255	Stavros Nikolaou	10000000250	Stavros Papadopoulos	Registrar	1	10000000240
10000000255	Stavros Nikolaou	10000000240	Evangelia Athanasiou	Director	2	NULL
10000000256	Maria Dimitriou	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000257	Ioanna Nikolaou	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000258	Panagiota Vasiliou	10000000240	Evangelia Athanasiou	Director	1	NULL
10000000259	Sofia Papadopoulos	10000000252	Petros Alexiou	Consultant	1	10000000240
10000000259	Sofia Papadopoulos	10000000240	Evangelia Athanasiou	Director	2	NULL
10000000261	Anna Kostopoulos	10000000260	Dimitra Theodorou	Director	1	NULL
10000000262	Anastasia Papadopoulos	10000000278	Sofia Theodorou	Consultant	1	10000000260
10000000262	Anastasia Papadopoulos	10000000260	Dimitra Theodorou	Director	2	NULL
10000000263	Eleni Kostopoulos	10000000260	Dimitra Theodorou	Director	1	NULL
10000000264	Maria Nikolaou	10000000260	Dimitra Theodorou	Director	1	NULL
10000000265	Evangelia Georgiou	10000000277	Georgia Pavlidis	Registrar	1	10000000260
10000000265	Evangelia Georgiou	10000000260	Dimitra Theodorou	Director	2	NULL
10000000266	Chrysa Dimitriou	10000000260	Dimitra Theodorou	Director	1	NULL
10000000267	Nikos Nikolaou	10000000260	Dimitra Theodorou	Director	1	NULL
